,id,fecha,producto,categoria,unidades,precio_unitario,importe,tienda,vendedor,IVA
0,1,2024-01-02,Portátil HP,Informática,1,799.0,799.0,Sevilla,Ana,167.79
1,2,2024-01-02,Ratón Logitech,Accesorios,3,25.0,75.0,Cádiz,Luis,15.75
2,3,2024-01-03,Monitor Samsung,Imagen,2,210.0,420.0,Sevilla,Ana,88.2
3,4,2024-01-03,Impresora Epson,Oficina,1,140.0,140.0,Málaga,Carmen,29.4
4,5,2024-01-04,Altavoces JBL,Sonido,2,90.0,180.0,Cádiz,Luis,37.8
5,6,2024-01-05,Teclado HP,Accesorios,4,35.0,140.0,Granada,Raúl,29.4
6,7,2024-01-06,Router TP-Link,Redes,1,65.0,65.0,Sevilla,Ana,13.65
7,8,2024-01-06,Tablet Lenovo,Informática,1,270.0,270.0,Málaga,Carmen,56.699999999999996
8,9,2024-01-07,Disco Duro 1TB,Almacenamiento,2,60.0,120.0,Granada,Raúl,25.2
9,10,2024-01-07,USB 64GB,Accesorios,5,10.0,50.0,Cádiz,Luis,10.5
10,11,2024-01-08,Cámara Canon,Imagen,1,480.0,480.0,Sevilla,Ana,100.8
11,12,2024-01-08,Altavoces Logitech,Sonido,1,85.0,85.0,Granada,Raúl,17.849999999999998
12,13,2024-01-09,Monitor LG,Imagen,3,190.0,570.0,Sevilla,Ana,119.69999999999999
13,14,2024-01-09,Impresora HP,Oficina,2,130.0,260.0,Córdoba,Laura,54.6
14,15,2024-01-10,Portátil Asus,Informática,1,750.0,750.0,Granada,Raúl,157.5
15,16,2024-01-10,Tablet Samsung,Informática,2,310.0,620.0,Cádiz,Luis,130.2
16,17,2024-01-11,Disco SSD 512GB,Almacenamiento,2,85.0,170.0,Sevilla,Ana,35.699999999999996
17,18,2024-01-11,Router ASUS,Redes,1,120.0,120.0,Málaga,Carmen,25.2
18,19,2024-01-12,Teclado mecánico,Accesorios,2,55.0,110.0,Córdoba,Laura,23.099999999999998
19,20,2024-01-12,Smartwatch Garmin,Wearables,1,190.0,190.0,Granada,Raúl,39.9
20,21,2024-01-13,Altavoces Bose,Sonido,1,230.0,230.0,Sevilla,Ana,48.3
21,22,2024-01-13,Monitor Philips,Imagen,1,175.0,175.0,Cádiz,Luis,36.75
22,23,2024-01-14,Tablet Huawei,Informática,1,295.0,295.0,Málaga,Carmen,61.949999999999996
23,24,2024-01-14,Impresora Brother,Oficina,1,150.0,150.0,Córdoba,Laura,31.5
24,25,2024-01-15,Ratón Genius,Accesorios,4,18.0,72.0,Granada,Raúl,15.12
25,26,2024-01-15,Portátil Acer,Informática,1,699.0,699.0,Cádiz,Luis,146.79
26,27,2024-01-16,Cámara Sony,Imagen,1,520.0,520.0,Sevilla,Ana,109.2
27,28,2024-01-16,USB 128GB,Accesorios,3,15.0,45.0,Granada,Raúl,9.45
28,29,2024-01-17,Altavoces Sony,Sonido,2,150.0,300.0,Córdoba,Laura,63.0
29,30,2024-01-17,Router TP-Link,Redes,2,60.0,120.0,Cádiz,Luis,25.2
